Module 	X	Y	Z			
305	899.550	342.800	3028.500			
306	943.150	342.800	3028.500			
307	27.550	428.500	3028.500			
308	71.150	428.500	3028.500			
309	114.750	428.500	3028.500			
310	158.350	428.500	3028.500			
311	201.950	428.500	3028.500			
312	245.550	428.500	3028.500			
313	289.150	428.500	3028.500			
314	332.750	428.500	3028.500			
315	376.350	428.500	3028.500			
316	419.950	428.500	3028.500			
317	463.550	428.500	3028.500			
318	507.150	428.500	3028.500			
319	550.750	428.500	3028.500			
320	594.350	428.500	3028.500			
321	637.950	428.500	3028.500			
322	681.550	428.500	3028.500			
323	725.150	428.500	3028.500			
324	768.750	428.500	3028.500			
325	812.350	428.500	3028.500			
326	855.950	428.500	3028.500			
327	899.550	428.500	3028.500			
328	943.150	428.500	3028.500			
329	27.550	514.200	3028.500			
330	71.150	514.200	3028.500			
331	114.750	514.200	3028.500			
332	158.350	514.200	3028.500			
333	201.950	514.200	3028.500			
334	245.550	514.200	3028.500			
335	289.150	514.200	3028.500			
336	332.750	514.200	3028.500			
337	376.350	514.200	3028.500			
338	419.950	514.200	3028.500			
339	463.550	514.200	3028.500			
340	507.150	514.200	3028.500			
341	550.750	514.200	3028.500			
342	594.350	514.200	3028.500			
343	637.950	514.200	3028.500			
344	681.550	514.200	3028.500			
345	725.150	514.200	3028.500			
346	768.750	514.200	3028.500			
347	812.350	514.200	3028.500			
348	855.950	514.200	3028.500			
349	899.550	514.200	3028.500			
350	943.150	514.200	3028.500			
351	986.750	514.200	3028.500			
352	27.550	599.900	3028.500			
353	71.150	599.900	3028.500			
354	114.750	599.900	3028.500			
355	158.350	599.900	3028.500			
356	201.950	599.900	3028.500			
357	245.550	599.900	3028.500			
358	289.150	599.900	3028.500			
359	332.750	599.900	3028.500			
360	376.350	599.900	3028.500			
361	419.950	599.900	3028.500			
362	463.550	599.900	3028.500			
363	507.150	599.900	3028.500			
364	550.750	599.900	3028.500			
365	594.350	599.900	3028.500			
366	637.950	599.900	3028.500			
367	681.550	599.900	3028.500			
368	725.150	599.900	3028.500			
369	768.750	599.900	3028.500			
370	812.350	599.900	3028.500			
371	855.950	599.900	3028.500			
372	899.550	599.900	3028.500			
373	943.150	599.900	3028.500			
374	27.550	685.600	3028.500			
375	71.150	685.600	3028.500			
376	114.750	685.600	3028.500			
377	158.350	685.600	3028.500			
378	201.950	685.600	3028.500			
379	245.550	685.600	3028.500			
380	289.150	685.600	3028.500			
381	332.750	685.600	3028.500			
382	376.350	685.600	3028.500			
383	419.950	685.600	3028.500			
384	463.550	685.600	3028.500			
385	507.150	685.600	3028.500			
386	550.750	685.600	3028.500			
387	594.350	685.600	3028.500			
388	637.950	685.600	3028.500			
389	681.550	685.600	3028.500			
390	725.150	685.600	3028.500			
391	768.750	685.600	3028.500			
392	812.350	685.600	3028.500			
393	855.950	685.600	3028.500			
394	27.550	771.300	3028.500			
395	71.150	771.300	3028.500			
396	114.750	771.300	3028.500			
397	158.350	771.300	3028.500			
