Module 	X	Y	Z
355	158.350	599.900	3028.5
356	201.950	599.900	3028.5
357	245.550	599.900	3028.5
358	289.150	599.900	3028.5
359	332.750	599.900	3028.5
360	376.350	599.900	3028.5
361	419.950	599.900	3028.5
362	463.550	599.900	3028.5
363	507.150	599.900	3028.5
364	550.750	599.900	3028.5
365	594.350	599.900	3028.5
366	637.950	599.900	3028.5
367	681.550	599.900	3028.5
368	725.150	599.900	3028.5
369	768.750	599.900	3028.5
370	812.350	599.900	3028.5
371	855.950	599.900	3028.5
372	899.550	599.900	3028.5
373	943.150	599.900	3028.5
374	27.550	685.600	3028.5
375	71.150	685.600	3028.5
376	114.750	685.600	3028.5
377	158.350	685.600	3028.5
378	201.950	685.600	3028.5
379	245.550	685.600	3028.5
380	289.150	685.600	3028.5
381	332.750	685.600	3028.5
382	376.350	685.600	3028.5
383	419.950	685.600	3028.5
384	463.550	685.600	3028.5
385	507.150	685.600	3028.5
386	550.750	685.600	3028.5
387	594.350	685.600	3028.5
388	637.950	685.600	3028.5
389	681.550	685.600	3028.5
390	725.150	685.600	3028.5
391	768.750	685.600	3028.5
392	812.350	685.600	3028.5
393	855.950	685.600	3028.5
394	27.550	771.300	3028.5
395	71.150	771.300	3028.5
396	114.750	771.300	3028.5
397	158.350	771.300	3028.5
398	201.950	771.300	3028.5
399	245.550	771.300	3028.5
400	289.150	771.300	3028.5
401	332.750	771.300	3028.5
402	376.350	771.300	3028.5
403	419.950	771.300	3028.5
404	463.550	771.300	3028.5
405	507.150	771.300	3028.5
406	550.750	771.300	3028.5
407	594.350	771.300	3028.5
408	637.950	771.300	3028.5
409	681.550	771.300	3028.5
410	725.150	771.300	3028.5
411	768.750	771.300	3028.5
412	27.550	857.000	3028.5
413	71.150	857.000	3028.5
414	114.750	857.000	3028.5
415	158.350	857.000	3028.5
416	201.950	857.000	3028.5
417	245.550	857.000	3028.5
418	289.150	857.000	3028.5
419	332.750	857.000	3028.5
420	376.350	857.000	3028.5
421	419.950	857.000	3028.5
422	463.550	857.000	3028.5
423	507.150	857.000	3028.5
