,X,Y
211,507.15,-42.85
212,550.75,-42.85
213,594.35,-42.85
214,637.95,-42.85
215,681.55,-42.85
216,725.15,-42.85
217,768.75,-42.85
218,812.35,-42.85
219,855.95,-42.85
220,899.55,-42.85
221,943.15,-42.85
222,986.75,-42.85
223,1030.35,-42.85
224,1073.95,-42.85
225,463.55,42.85
226,507.15,42.85
227,550.75,42.85
228,594.35,42.85
229,637.95,42.85
230,681.55,42.85
231,725.15,42.85
232,768.75,42.85
233,812.35,42.85
234,855.95,42.85
235,899.55,42.85
236,943.15,42.85
237,986.75,42.85
238,1030.35,42.85
239,1073.95,42.85
240,376.35,128.55
241,419.95,128.55
242,463.55,128.55
243,507.15,128.55
244,550.75,128.55
245,594.35,128.55
246,637.95,128.55
247,681.55,128.55
248,725.15,128.55
249,768.75,128.55
250,812.35,128.55
251,855.95,128.55
252,899.55,128.55
253,943.15,128.55
254,986.75,128.55
255,1030.35,128.55
256,1073.95,128.55
257,332.75,214.25
258,376.35,214.25
259,419.95,214.25
260,463.55,214.25
261,507.15,214.25
262,550.75,214.25
263,594.35,214.25
264,637.95,214.25
265,681.55,214.25
266,725.15,214.25
267,768.75,214.25
268,812.35,214.25
269,855.95,214.25
270,899.55,214.25
271,943.15,214.25
272,986.75,214.25
273,1030.35,214.25
274,1073.95,214.25
275,289.15,299.95
276,332.75,299.95
277,376.35,299.95
278,419.95,299.95
279,463.55,299.95
280,507.15,299.95
281,550.75,299.95
282,594.35,299.95
283,637.95,299.95
284,681.55,299.95
285,725.15,299.95
286,768.75,299.95
287,812.35,299.95
288,855.95,299.95
289,899.55,299.95
290,943.15,299.95
291,986.75,299.95
292,1030.35,299.95
293,1073.95,299.95
294,289.15,385.65
295,332.75,385.65
296,376.35,385.65
297,419.95,385.65
298,463.55,385.65
299,507.15,385.65
300,550.75,385.65
301,594.35,385.65
302,637.95,385.65
303,681.55,385.65
304,725.15,385.65
305,768.75,385.65
306,812.35,385.65
307,855.95,385.65
308,899.55,385.65
309,943.15,385.65
310,27.55,471.35
311,71.15,471.35
312,114.75,471.35
313,158.35,471.35
314,201.95,471.35
315,245.55,471.35
316,289.15,471.35
317,332.75,471.35
318,376.35,471.35
319,419.95,471.35
320,463.55,471.35
321,507.15,471.35
322,550.75,471.35
323,594.35,471.35
324,637.95,471.35
325,681.55,471.35
326,725.15,471.35
327,768.75,471.35
328,812.35,471.35
329,855.95,471.35
330,899.55,471.35
331,943.15,471.35
332,27.55,557.05
333,71.15,557.05
334,114.75,557.05
335,158.35,557.05
336,201.95,557.05
337,245.55,557.05
338,289.15,557.05
339,332.75,557.05
340,376.35,557.05
341,419.95,557.05
342,463.55,557.05
343,507.15,557.05
344,550.75,557.05
345,594.35,557.05
346,637.95,557.05
347,681.55,557.05
348,725.15,557.05
349,768.75,557.05
350,812.35,557.05
351,855.95,557.05
352,899.55,557.05
353,943.15,557.05
354,986.75,557.05
355,27.55,642.75
356,71.15,642.75
357,114.75,642.75
358,158.35,642.75
359,201.95,642.75
360,245.55,642.75
361,289.15,642.75
362,332.75,642.75
363,376.35,642.75
364,419.95,642.75
365,463.55,642.75
366,507.15,642.75
367,550.75,642.75
368,594.35,642.75
369,637.95,642.75
370,681.55,642.75
371,725.15,642.75
372,768.75,642.75
373,812.35,642.75
374,855.95,642.75
375,899.55,642.75
376,943.15,642.75
377,27.55,728.45
378,71.15,728.45
379,114.75,728.45
380,158.35,728.45
381,201.95,728.45
382,245.55,728.45
383,289.15,728.45
384,332.75,728.45
385,376.35,728.45
386,419.95,728.45
387,463.55,728.45
388,507.15,728.45
389,550.75,728.45
390,594.35,728.45
391,637.95,728.45
392,681.55,728.45
393,725.15,728.45
394,768.75,728.45
395,812.35,728.45
396,855.95,728.45
397,27.55,814.15
398,71.15,814.15
399,114.75,814.15
400,158.35,814.15
401,201.95,814.15
